2025-07-21 01:00:05.047 | INFO     | workflows.graphs.campaign.nodes.persona_quality_checker_node:__init__:22 - PersonaQualityCheckerNode initialized.
2025-07-21 01:00:05.047 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 01:00:05.351 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 01:00:05.351 | INFO     | workflows.graphs.campaign.nodes.budget_classifier_node:__init__:21 - BudgetClassifierNode initialized.
2025-07-21 01:00:05.351 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 01:00:05.656 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 01:00:05.656 | INFO     | workflows.graphs.campaign.nodes.channel_constraints_node:__init__:21 - ChannelConstraintsNode initialized.
2025-07-21 01:00:05.656 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 01:00:05.959 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 01:00:05.959 | INFO     | workflows.graphs.campaign.nodes.objective_refiner_node:__init__:22 - ObjectiveRefinerNode initialized.
2025-07-21 01:00:05.960 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 01:00:06.261 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 01:00:06.261 | INFO     | workflows.graphs.campaign.nodes.persona_enrichment_node:__init__:22 - PersonaEnrichmentNode initialized.
2025-07-21 01:00:06.262 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 01:00:06.565 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 01:00:06.566 | INFO     | workflows.graphs.campaign.nodes.fallback_persona_node:__init__:22 - FallbackPersonaNode initialized.
2025-07-21 01:00:06.640 | INFO     | workflows.graphs.campaign.subgraphs.media_ad_gen_subgraph:__init__:24 - Initializing CampaignWorkflow...
2025-07-21 01:00:06.640 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 01:00:06.940 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 01:00:06.940 | INFO     | workflows.graphs.campaign.nodes.email_ad_generator_node:__init__:21 - EmailAdGeneratorNode initialized.
2025-07-21 01:00:06.940 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 01:00:07.243 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 01:00:07.244 | INFO     | workflows.graphs.campaign.nodes.web_ad_generator_node:__init__:21 - WebAdGeneratorNode initialized.
2025-07-21 01:07:22.884 | INFO     | __main__:__init__:28 - Initializing CampaignWorkflow...
2025-07-21 01:07:22.884 | INFO     | workflows.graphs.campaign.nodes.check_external_logs_node:__init__:14 - CheckExternalLogsNode initialized.
2025-07-21 01:07:22.884 | INFO     | workflows.graphs.campaign.nodes.analytics_node:__init__:14 - AnalyticsNode initialized. Ready to process external user logs.
2025-07-21 01:07:22.886 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 01:07:23.283 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 01:07:23.283 | INFO     | workflows.graphs.campaign.nodes.segmenting_node:__init__:35 - UserSegmenter initialized with structured prompt.
2025-07-21 01:07:23.283 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 01:07:23.587 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 01:07:23.588 | INFO     | workflows.graphs.campaign.nodes.recommend_node:__init__:26 - RecommendNode initialized with inline prompt chain.
2025-07-21 01:07:23.588 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 01:07:23.892 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 01:07:23.892 | INFO     | workflows.graphs.campaign.nodes.generate_ad_node:__init__:19 - GenerateAdNode initialized with inline prompt chain.
2025-07-21 01:07:23.893 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 01:07:24.198 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 01:07:24.199 | INFO     | workflows.graphs.campaign.nodes.human_in_the_loop_node:__init__:243 - HumanReviewRouter initialized successfully with inline prompt.
2025-07-21 01:07:24.199 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 01:07:24.503 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 01:07:24.503 | INFO     | workflows.graphs.campaign.nodes.feedback_loop_node:__init__:21 - FeedbackLoopNode initialized with inline prompt chain.
2025-07-21 01:07:24.503 | INFO     | workflows.graphs.campaign.subgraphs.validation_subgraph:__init__:24 - Initializing ValidationWorkflow...
